Custom Chart,,
https://www.eia.gov/outlooks/steo/data/browser/#/?v=28&f=M&s=&start=199701&end=202212&id=&linechart=ZWCDPUS~ZWHDPUS&maptype=0&ctype=linechart&map=&chartindexed=0,,
17:13:12 GMT-0500 (Eastern Standard Time),,
Source: U.S. Energy Information Administration,,
Month,Cooling Degree days: U.S. (cooling degree days) cooling degree days,Heating Degree days: U.S. (heating degree days) heating degree days
Dec 2020,7.5,726.6
Nov 2020,32.2,420.9
Oct 2020,83.5,246.8
Sep 2020,181.3,58.3
Aug 2020,356.5,7.3
Jul 2020,397.4,4.6
Jun 2020,247.2,25.3
May 2020,105.5,156.5
Apr 2020,42.7,358.9
Mar 2020,42.8,484
Feb 2020,12.6,651.9
Jan 2020,15.3,739.4
Dec 2019,13.6,715.2
Nov 2019,16.1,588.6
Oct 2019,75.5,253.4
Sep 2019,243.3,41
Aug 2019,336.7,10.2
Jul 2019,373.2,5.3
Jun 2019,227.2,34.1
May 2019,129.5,158.1
Apr 2019,41.8,287.8
Mar 2019,18.4,631.6
Feb 2019,18.2,719.3
Jan 2019,9,858.8
Dec 2018,10.7,731.6
Nov 2018,17.8,593.6
Oct 2018,69.5,253.6
Sep 2018,231.1,37.7
Aug 2018,351.1,7
Jul 2018,376.1,3.5
Jun 2018,270.1,26.4
May 2018,174.3,85.4
Apr 2018,32.7,410.2
Mar 2018,21.1,608.7
Feb 2018,22.9,625
Jan 2018,7.5,896.1
Dec 2017,10.1,797.8
Nov 2017,27.4,490.1
Oct 2017,77.8,192.9
Sep 2017,184.3,44.5
Aug 2017,292.2,15.2
Jul 2017,363.1,5.2
Jun 2017,241.4,24.7
May 2017,105.7,153.7
Apr 2017,55.9,247.8
Mar 2017,31.9,542.6
Feb 2017,21.7,547.1
Jan 2017,16.7,766.3
Dec 2016,16.6,782.9
Nov 2016,25.5,418.1
Oct 2016,86.5,197.6
Sep 2016,219.3,38.9
Aug 2016,362,6.4
Jul 2016,383.7,5.7
Jun 2016,270.9,20.8
May 2016,97.5,150.5
Apr 2016,42.5,309.4
Mar 2016,35.2,449.7
Feb 2016,11.2,627.9
Jan 2016,7.4,870.8
Dec 2015,26.3,581.4
Nov 2015,29.8,445.3
Oct 2015,77,227.2
Sep 2015,223.3,31.9
Aug 2015,315.2,11
Jul 2015,336.1,6.4
Jun 2015,255.1,24.3
May 2015,125.9,118.8
Apr 2015,53.3,299.8
Mar 2015,29.4,583.8
Feb 2015,7.3,867
Jan 2015,9.2,890.3
Dec 2014,10.3,705.6
Nov 2014,11.1,614.3
Oct 2014,74.2,220.6
Sep 2014,182.7,57.5
Aug 2014,291.9,13
Jul 2014,300.7,9.8
Jun 2014,242.7,28
May 2014,113.3,126.9
Apr 2014,37.3,324.7
Mar 2014,15.2,683.1
Feb 2014,11.9,798.8
Jan 2014,7.1,970
Dec 2013,13.4,829.2
Nov 2013,17.7,572.1
Oct 2013,56.1,257.3
Sep 2013,177.4,59.5
Aug 2013,288.5,11.6
Jul 2013,338.3,5.2
Jun 2013,244.7,26.4
May 2013,99.7,136.1
Apr 2013,34.2,347.9
Mar 2013,11.1,659.8
Feb 2013,10.8,733.2
Jan 2013,15,828
Dec 2012,11.4,698.7
Nov 2012,13.9,540.3
Oct 2012,55.4,261.9
Sep 2012,173.9,60.9
Aug 2012,328.2,8.7
Jul 2012,401.3,5
Jun 2012,233.2,31.6
May 2012,154.9,98.8
Apr 2012,48.8,292
Mar 2012,48.9,381.1
Feb 2012,13.3,628.9
Jan 2012,12,762.2
Dec 2011,11.3,723.7
Nov 2011,18.4,472.9
Oct 2011,49.5,256.2
Sep 2011,175.4,57.5
Aug 2011,349.9,9.3
Jul 2011,404.3,7
Jun 2011,259.4,38.9
May 2011,106.9,157.5
Apr 2011,54.2,314
Mar 2011,25.2,580.8
Feb 2011,9.6,741.4
Jan 2011,5.9,953.3
Dec 2010,2.9,901.1
Nov 2010,15,525.2
Oct 2010,55.1,237.4
Sep 2010,194.9,52.8
Aug 2010,351.5,9.2
Jul 2010,374.7,6.3
Jun 2010,282.7,31.2
May 2010,128.2,141.4
Apr 2010,36.4,272.3
Mar 2010,8.6,550.8
Feb 2010,2.7,808
Jan 2010,4,927.2
Dec 2009,8.1,871
Nov 2009,18.2,447
Oct 2009,49.1,332.3
Sep 2009,168.6,62.5
Aug 2009,303.2,14.6
Jul 2009,286.4,15.3
Jun 2009,221.9,43.9
May 2009,118.3,136.5
Apr 2009,30.6,334.4
Mar 2009,19.9,577.6
Feb 2009,8.7,694.4
Jan 2009,8.1,951.1
Dec 2008,9.6,826
Nov 2008,13.2,535.1
Oct 2008,49.3,284.1
Sep 2008,170.6,55.7
Aug 2008,281.3,15.4
Jul 2008,331,7
Jun 2008,261.6,29.9
May 2008,93.2,188.8
Apr 2008,32.2,325.9
Mar 2008,19.5,610.9
Feb 2008,13.1,729.5
Jan 2008,8.2,885.7
Dec 2007,13.8,797.6
Nov 2007,18.1,522.2
Oct 2007,80.9,182.6
Sep 2007,186.7,50.2
Aug 2007,361.8,9
Jul 2007,307,6.5
Jun 2007,231.7,27.6
May 2007,117.9,118.1
Apr 2007,24.7,373.9
Mar 2007,31.6,500.3
Feb 2007,6.5,839.9
Jan 2007,11.5,839.9
Dec 2006,13.3,691.9
Nov 2006,15.3,475.6
Oct 2006,46.9,311.3
Sep 2006,134.4,87.2
Aug 2006,329.4,11.5
Jul 2006,381.5,3
Jun 2006,233.1,26
May 2006,108.7,143.1
Apr 2006,55.2,275.5
Mar 2006,21.2,602.6
Feb 2006,6.2,723.9
Jan 2006,14.5,688.2
Dec 2005,5.7,863.4
Nov 2005,21.4,473
Oct 2005,56.1,242.7
Sep 2005,209.3,43.2
Aug 2005,344.8,8
Jul 2005,364.7,4.2
Jun 2005,244.2,30.8
May 2005,83,192.4
Apr 2005,25.4,314.6
Mar 2005,13.8,646.9
Feb 2005,9.2,673.7
Jan 2005,11.4,854.8
Dec 2004,6.1,802.4
Nov 2004,19,496.9
Oct 2004,68.3,259.6
Sep 2004,171,53
Aug 2004,247.8,21.5
Jul 2004,294.3,8.9
Jun 2004,202.3,41.3
May 2004,134.9,116.6
Apr 2004,28.7,311.8
Mar 2004,29.2,497.6
Feb 2004,7.6,766.5
Jan 2004,7.5,968
Dec 2003,5.1,792.4
Nov 2003,22.6,489.6
Oct 2003,63.9,266.4
Sep 2003,151.9,67.3
Aug 2003,334.5,6.5
Jul 2003,330.6,5.2
Jun 2003,181.8,44.8
May 2003,107.7,176.6
Apr 2003,30.7,360
Mar 2003,25,580.4
Feb 2003,8.6,806.2
Jan 2003,5.2,948.4
Dec 2002,6.3,818.6
Nov 2002,11.8,567.2
Oct 2002,56.3,309.7
Sep 2002,194.6,42.8
Aug 2002,321.3,10
Jul 2002,361.2,3.7
Jun 2002,235.4,26.5
May 2002,89.8,195.6
Apr 2002,52.4,296.2
Mar 2002,18.1,628.8
Feb 2002,6.9,672
Jan 2002,9.7,785.1
Dec 2001,12.5,703.9
Nov 2001,21.5,411.2
Oct 2001,46.6,271.3
Sep 2001,137.8,74.4
Aug 2001,330.1,6.8
Jul 2001,300.4,10.4
Jun 2001,218.2,32.3
May 2001,117.5,123.7
Apr 2001,40.3,311.2
Mar 2001,13.1,662.9
Feb 2001,13.6,719.7
Jan 2001,4.1,928.5
Dec 2000,5.2,995.5
Nov 2000,10.1,617.7
Oct 2000,49.6,252.2
Sep 2000,154.1,75.1
Aug 2000,299.4,14.2
Jul 2000,283.1,14
Jun 2000,218.3,32.3
May 2000,134.6,125.8
Apr 2000,29.4,346
Mar 2000,27.7,497.9
Feb 2000,11.5,639.9
Jan 2000,9.4,882.8
Dec 1999,7.1,764.8
Nov 1999,19.5,423.1
Oct 1999,54.7,279.6
Sep 1999,149.6,66
Aug 1999,299.6,15.6
Jul 1999,363.6,7.1
Jun 1999,213,35.2
May 1999,95.3,154.4
Apr 1999,42.5,332.8
Mar 1999,13.5,648.4
Feb 1999,11.7,647.4
Jan 1999,12,857.2
Dec 1998,11.9,726.3
Nov 1998,21.7,495.1
Oct 1998,60,254.6
Sep 1998,206.9,38.1
Aug 1998,332.2,7.7
Jul 1998,344.7,5.4
Jun 1998,223.1,47.5
May 1998,135.3,128.2
Apr 1998,23.8,344.3
Mar 1998,11.4,603.3
Feb 1998,7.5,630.9
Jan 1998,11.7,769.4
Dec 1997,6.3,811.7
Nov 1997,11.3,604.5
Oct 1997,45.7,284.8
Sep 1997,165.4,68.7
Aug 1997,262.4,18.9
Jul 1997,307.5,9.8
Jun 1997,182.7,37
May 1997,82.7,206.9
Apr 1997,20.5,415.6
Mar 1997,31.8,555.8
Feb 1997,12,677.2
Jan 1997,8.4,934.3
Dec 1996,8.3,769.1
